C1015,11000C101502,长春,珲春,CCT,HUL
C1016,1c000C101602,延吉西,长春,YXL,CCT
C1017,11000C101702,长春,延吉西,CCT,YXL
C1018,1c000C101802,延吉西,长春,YXL,CCT
C1019,11000C101902,长春,延吉西,CCT,YXL
C1020,1c000C102003,延吉西,长春,YXL,CCT
C1021,11000C102103,长春,延吉西,CCT,YXL
C1022,1c000C102201,珲春,长春,HUL,CCT
C1023,11000C102302,长春,珲春,CCT,HUL
C1024,1c000C102402,延吉西,长春,YXL,CCT
C1025,11000C102502,长春,珲春,CCT,HUL
C1026,1c000C102602,珲春,长春,HUL,CCT
C1027,11000C102703,长春,延吉西,CCT,YXL
C1028,1c000C102801,延吉西,长春,YXL,CCT
C1031,1c000C103101,延吉西,珲春,YXL,HUL
C1032,1c000C103201,珲春,延吉西,HUL,YXL
C1034,1c000C103400,珲春,延吉西,HUL,YXL
C1037,18000C103700,敦化,珲春,DHL,HUL
C1038,1c000C103800,延吉西,敦化,YXL,DHL
C1041,11000C104101,长春,延吉西,CCT,YXL
C1042,1c000C104202,珲春,长春,HUL,CCT
C1043,11000C104301,长春,珲春,CCT,HUL
C1044,1c000C104401,珲春,长春,HUL,CCT
C1049,11000C104910,长春,蛟河西,CCT,JOL
C1050,1c000C105010,蛟河西,长春,JOL,CCT
C1201,1g000C120101,长春西,吉林,CRT,JLL
C1202,18000C120202,吉林,长春,JLL,CCT
C1203,1g000C120302,长春西,吉林,CRT,JLL
C1204,18000C120401,吉林,长春,JLL,CCT
C1205,11000C120510,长春,蛟河西,CCT,JOL
C1206,18000C120601,吉林,长春,JLL,CCT
C1207,11000C120701,长春,吉林,CCT,JLL
C1208,1c000C120800,蛟河西,长春,JOL,CCT
C1209,11000C120901,长春,吉林,CCT,JLL
C1210,18000C121001,吉林,长春,JLL,CCT
C1211,11000C121101,长春,吉林,CCT,JLL
C1212,18000C121201,吉林,长春,JLL,CCT
C1213,11000C121301,长春,吉林,CCT,JLL
C1214,18000C121401,吉林,长春,JLL,CCT
C1215,11000C121501,长春,吉林,CCT,JLL
C1216,18000C121601,吉林,长春,JLL,CCT
C1217,11000C121701,长春,吉林,CCT,JLL
C1218,18000C121801,吉林,长春,JLL,CCT
C1219,11000C121901,长春,吉林,CCT,JLL
C1220,18000C122001,吉林,长春,JLL,CCT
C1221,11000C122102,长春,吉林,CCT,JLL
C1222,18000C122201,吉林,长春,JLL,CCT
C1223,11000C122301,长春,吉林,CCT,JLL
C1224,18000C122402,吉林,长春,JLL,CCT
C1225,11000C122501,长春,吉林,CCT,JLL
C1226,18000C122602,吉林,长春,JLL,CCT
C1227,11000C122701,长春,吉林,CCT,JLL
C1228,18000C122801,吉林,长春,JLL,CCT
C1229,11000C122903,长春,吉林,CCT,JLL
C1230,18000C123001,吉林,长春,JLL,CCT
C1232,18000C123201,吉林,长春,JLL,CCT
C1235,11000C123501,长春,吉林,CCT,JLL
C1238,18000C123801,吉林,长春,JLL,CCT
C1240,1c000C124000,延吉西,吉林,YXL,JLL
C1241,11000C124100,长春,吉林,CCT,JLL
C1242,18000C124201,吉林,长春,JLL,CCT
C1243,11000C124301,长春,吉林,CCT,JLL
C1244,18000C124403,吉林,长春,JLL,CCT
C1245,11000C124500,长春,吉林,CCT,JLL
C1246,18000C124600,吉林,长春,JLL,CCT
C1247,11000C124700,长春,吉林,CCT,JLL
C1248,18000C124800,吉林,长春,JLL,CCT
C1249,11000C124910,长春,延吉西,CCT,YXL
C1301,11000C130120,长春,白城,CCT,BCT
C1302,11000C130200,乌兰浩特,长春,WWT,CCT
C1303,11000C130310,长春,乌兰浩特,CCT,WWT
C1304,11000C130400,白城,长春,BCT,CCT
C1305,11000C130510,长春,乌兰浩特,CCT,WWT
C1306,11000C130600,乌兰浩特,长春,WWT,CCT
C1307,11000C130700,长春,白城,CCT,BCT
C1308,11000C130801,乌兰浩特,长春,WWT,CCT
C1309,11000C130900,长春,乌兰浩特,CCT,WWT
C1310,11000C131000,白城,长春,BCT,CCT
C1311,11000C131100,长春,白城,CCT,BCT
C1312,11000C131200,白城,长春,BCT,CCT
C1321,11000C132102,长春,松原,CCT,VYT
C1322,11000C132202,松原,长春,VYT,CCT
C1331,11000C133100,白城,乌兰浩特,BCT,WWT
C1332,11000C133200,乌兰浩特,白城,WWT,BCT
C2001,24000C20010M,北京南,天津,VNP,TJP
C2002,25000C20020K,天津,北京南,TJP,VNP
C2003,24000C20030G,北京南,天津,VNP,TJP
C2004,25000C20040B,天津,北京南,TJP,VNP
C2005,24000C20050F,北京南,天津,VNP,TJP
C2006,25000C20060C,天津,北京南,TJP,VNP
C2008,25000C20080J,天津,北京南,TJP,VNP
C2011,24000C20110G,北京南,天津,VNP,TJP
C2012,25000C20120O,天津,北京南,TJP,VNP
C2013,24000C20130I,北京南,天津,VNP,TJP
C2014,25000C201409,天津,北京南,TJP,VNP
C2015,24000C20150L,北京南,天津,VNP,TJP
C2016,25000C20160C,天津,北京南,TJP,VNP
C2017,24000C20170H,北京南,天津,VNP,TJP
C2018,25000C20180I,天津,北京南,TJP,VNP
C2019,24000C20190F,北京南,天津,VNP,TJP
C2022,25000C20220F,天津,北京南,TJP,VNP
C2023,24000C20230I,北京南,天津,VNP,TJP
C2025,24000C20250D,北京南,天津,VNP,TJP
C2026,25000C20260G,天津,北京南,TJP,VNP
C2028,25000C20280F,天津,北京南,TJP,VNP
C2029,24000C20290J,北京南,天津,VNP,TJP
C2030,25000C20300C,天津,北京南,TJP,VNP
C2031,24000C20310K,北京南,天津,VNP,TJP
C2032,25000C20320E,天津,北京南,TJP,VNP
C2033,24000C20330R,北京南,天津,VNP,TJP
C2034,25000C20340J,天津,北京南,TJP,VNP
C2035,24000C20350E,北京南,天津,VNP,TJP
C2037,24000C20370H,北京南,天津,VNP,TJP
C2038,25000C20380G,天津,北京南,TJP,VNP
C2039,24000C20390F,北京南,天津,VNP,TJP
C2040,25000C20400G,天津,北京南,TJP,VNP
C2041,24000C20410H,北京南,天津,VNP,TJP
C2042,25000C20420E,天津,北京南,TJP,VNP
C2043,24000C20430M,北京南,天津,VNP,TJP
C2046,25000C20460K,天津,北京南,TJP,VNP
C2047,24000C20470I,北京南,天津,VNP,TJP
C2048,25000C20480O,天津,北京南,TJP,VNP
C2049,24000C20490G,北京南,天津,VNP,TJP
C2050,25000C20500J,天津,北京南,TJP,VNP
C2051,24000C20510G,北京南,天津,VNP,TJP
C2053,24000C20530K,北京南,天津,VNP,TJP
C2054,25000C20540I,天津,北京南,TJP,VNP
C2056,25000C20560C,天津,北京南,TJP,VNP
C2057,24000C20570G,北京南,天津,VNP,TJP
C2060,25000C20600D,天津,北京南,TJP,VNP
C2061,24000C20610J,北京南,天津,VNP,TJP
C2062,25000C20620F,天津,北京南,TJP,VNP
C2063,24000C20630H,北京南,天津,VNP,TJP
C2064,25000C20640G,天津,北京南,TJP,VNP
C2065,24000C20650F,北京南,天津,VNP,TJP
C2066,25000C20660F,天津,北京南,TJP,VNP
C2067,24000C20670E,北京南,天津,VNP,TJP
C2069,24000C20690D,北京南,天津,VNP,TJP
C2070,25000C20700H,天津,北京南,TJP,VNP
C2073,24000C20730C,北京南,天津,VNP,TJP
C2076,25000C20760I,天津,北京南,TJP,VNP
C2078,25000C20780H,天津,北京南,TJP,VNP
C2079,24000C20790I,北京南,天津,VNP,TJP
C2080,25000C20800B,天津,北京南,TJP,VNP
C2081,24000C20810F,北京南,天津,VNP,TJP
C2082,25000C20820H,天津,北京南,TJP,VNP
C2083,24000C20830E,北京南,天津,VNP,TJP
C2084,25000C20840J,天津,北京南,TJP,VNP
C2085,24000C20850G,北京南,天津,VNP,TJP
C2086,25000C20860E,天津,北京南,TJP,VNP
C2087,24000C20870E,北京南,天津,VNP,TJP
